Hour,gaemn only,gaemn+window,gaemn + window + single-cell,gaemn + window + multicell,NAM Only
1,32.723401683279214,32.82144455690359,31.760545072552862,31.648925047210813,30.154318562178123
2,35.895729220166885,36.61814857329224,34.435473128231415,33.70881330490997,30.572131239517788
3,35.75165980169866,39.886932016805765,35.868714785022355,34.247523170972684,30.600143764318336
4,35.816418727373964,40.85271495142726,36.04271682542355,34.13369615967291,30.664746472108554
5,33.316902288815704,40.17401810387902,35.25258728306976,33.94393332252572,30.65720923270379
6,32.97915644206545,42.00699630213911,35.654564811166885,33.87446196728902,31.675756010594117
7,32.83864911805404,42.08367753435158,34.96659821631934,32.894536877345544,30.0106683032864
8,33.38674210904404,41.85419285513223,34.83092528413375,33.632018216694696,30.00592120678116
9,33.10337194421487,42.18304041298092,34.542265429873886,33.21435139058705,30.629951983014777
10,33.45418914593678,40.73081141611188,33.87502568605104,32.751646778204226,29.56995518596435
11,33.60039498271897,42.108801128454424,34.814368408390976,33.44274134387586,29.740483642389655
12,33.60722278403021,42.07154441868151,35.007760418834955,33.92672962985625,30.397859904861498
13,34.04168565492217,42.3222402821876,35.69890110849341,34.45125202177677,31.178417712445793
14,34.00319319980407,42.749908304141904,36.06508748705928,34.90605992164807,30.97409217490789
15,33.323435753852216,43.2100134481539,35.4495862354444,34.87805968915565,31.671700140894636
16,34.87837605968794,43.001093179209455,35.88117418144788,34.69452470985021,30.47192467587896
17,35.01692351123302,42.54741052265297,35.68709289911785,34.1422667460721,30.606465782979274
18,37.471422060959746,43.87855305429459,36.89032144093153,35.50494388560988,31.84292927450645
19,43.99163283947019,53.17742876865968,37.667439096324806,34.422842085986694,28.17152009345784
20,42.60257575115599,51.96035464248077,37.154529949015426,32.924561582837256,27.431228186548474
21,42.8746517940065,50.32135643990729,36.12717370823012,32.97841991139368,26.5469871185143
22,44.594415604080794,52.28720924035728,36.73190827497253,32.71473118454237,26.629323051723198
23,45.51203357199019,51.23815541367943,36.587522205160525,32.88948524070713,26.869936522163236
24,48.18334660795651,51.95252478336992,36.97997082929548,33.334294013219676,27.426274756973992

