Hour,gaemn only,gaemn+window,gaemn + window + single-cell,gaemn + window + multicell,NAM Only,% improvement NAM only,% improvement with NAM cell,% improvement with NAM grid,,1-6,7-12,13-18,19-24
1,32.10,31.63,30.70,30.41,30.78,-1.20,2.91,3.83,,2.260471208,4.6742635231,11.2652563296,22.0173271871
2,34.48,35.42,33.62,32.61,30.63,6.09,2.48,5.40,,,,,
3,34.09,37.52,34.40,33.41,30.62,8.34,-0.89,2.02,,,,,
4,34.09,38.48,34.26,33.50,30.38,9.33,-0.51,1.71,,8.2594622585,,,
5,33.13,38.00,33.75,32.81,29.89,8.89,-1.86,0.96,,20.0372798564,,,
6,33.03,38.77,34.08,33.15,30.47,8.10,-3.17,-0.37,,,,,
7,32.90,38.58,33.39,32.80,29.81,9.10,-1.49,0.30,,,,,
8,33.75,39.22,33.93,33.04,29.97,9.28,-0.52,2.13,,,,,
9,34.42,39.02,33.77,32.59,30.18,7.40,1.88,5.32,,,,,
10,34.64,38.89,33.37,32.09,29.46,8.20,3.66,7.38,,,,,
11,34.68,39.09,33.50,32.38,29.51,8.86,3.39,6.63,,,,,
12,35.22,39.57,33.80,33.01,30.07,8.89,4.05,6.29,,,,,
13,35.77,39.51,33.82,32.70,30.47,6.82,5.44,8.58,,,,,
14,36.14,39.82,33.76,32.98,30.45,7.69,6.59,8.75,,,,,
15,36.21,39.43,33.26,32.72,30.48,6.85,8.14,9.64,,,,,
16,37.64,40.52,34.21,33.28,30.37,8.74,9.11,11.60,,,,,
17,38.76,40.65,34.40,33.42,30.42,8.97,11.25,13.78,,,,,
18,39.97,41.25,34.81,33.88,30.88,8.85,12.91,15.24,,,,,
19,42.41,50.07,37.40,34.57,27.61,20.13,11.81,18.50,,,,,
20,42.30,49.84,37.43,33.84,27.54,18.60,11.51,20.02,,,,,
21,42.02,49.10,36.58,33.62,26.79,20.31,12.94,19.99,,,,,
22,42.94,49.23,36.57,33.33,26.58,20.27,14.84,22.37,,,,,
23,44.76,49.36,36.76,33.71,26.73,20.72,17.86,24.68,,,,,
24,46.70,49.46,37.11,34.30,27.38,20.19,20.52,26.54,,,,,
