Hour,gaemn only,gaemn+window,gaemn + window + single-cell,gaemn + window + multicell,NAM Only
1,31.2866898004039,31.03619581945903,30.63671241955378,29.97008952154282,31.35445827746267
2,33.73397940741716,34.92640902003335,34.34916350856618,32.35970937908149,31.370934518052756
3,33.252330977001435,35.93040650447586,34.09705310857942,34.552583075768474,30.56398924454933
4,33.00624543723662,37.99950697718617,34.38308381712422,34.88298464297294,31.305707832939884
5,30.50553969173141,36.98943459736377,33.65890576817871,33.8300653447101,31.121650220016132
6,29.856761951993416,38.10795067878934,34.18729634716755,34.88984427661022,31.391658354182518
7,28.99731711533679,37.92231310338838,33.24488930248242,34.65074986628911,30.642763057438877
8,29.770258520963285,38.5644053961745,33.70982515562818,33.991306353664605,31.26556072910151
9,30.844107498421913,39.799699980228965,34.67000421681635,33.57292782509318,31.180839266429285
10,30.934632745598158,39.49086146355096,33.731879713740476,32.43407609610663,29.56235578042089
11,31.1723486826739,39.941953320791455,34.545976115804606,33.51543880721608,30.95151260883562
12,30.931156165802168,41.04892292266099,34.67519077298708,34.19684441912706,31.654775580451556
13,30.549723543231142,40.413639876065304,34.772479560978276,33.884043033298745,31.41087936782459
14,31.68926868895571,40.318488236642565,33.35930414573711,33.68438086895945,31.184354816449684
15,30.558779910739233,38.24613761004926,32.63546485379886,33.163484283907835,31.360239546177954
16,31.756996870243853,41.557127230426865,34.268977391684686,33.503566416229525,30.363759389926646
17,32.521672855023056,40.6290431376907,34.15593163710603,33.965365508815246,31.50865986720975
18,33.565991191924326,40.326654416939434,34.4158447386105,34.38825272635213,31.782397925762247
19,38.766760824243526,46.55585316237493,35.75111282371246,33.69918520544195,27.067026741189633
20,39.05299504158451,46.45019092304657,35.79347504116161,33.2326946626957,27.6427028385182
21,38.39549846041539,45.917225947024704,35.227360984171135,32.020146062879874,26.53955510925238
22,39.7467078483804,45.43351501412962,34.42377346210032,32.72572354228732,26.415541667263046
23,41.592824900361066,45.29986621501816,34.153291406210776,32.45212619288619,26.234017532310205
24,43.83904483556864,46.51819415699014,35.49967087058263,33.23118363796582,26.826303439744564

