Hour,gaemn only,gaemn+window,gaemn + window + single-cell,gaemn + window + multicell,NAM Only
1,28.84493322162444,27.895133566296696,26.931603411856216,26.740105695379736,27.240883676149583
2,31.26519289894965,32.14447989506256,29.829043260082894,29.467524884965922,28.34797400235684
3,31.35826620802083,33.74501975641097,31.220441635224617,30.26258233765301,28.66602380007686
4,31.467729970951254,33.95524962292014,29.6899549874278,29.445103916658635,27.64307313009318
5,27.976045318891202,34.47794693318267,29.27113204957569,28.58089797338987,26.464553085186015
6,27.388541518829584,34.67914216131013,29.78416567426324,29.13353052488768,27.18038464618123
7,28.267067412872866,35.3268304061112,29.3171487846738,29.34576927895457,27.361306989240113
8,28.637849662152473,36.95126125538655,31.30884611946198,30.142555320588137,27.618447868594096
9,29.924746585454624,36.05094412260048,30.656442345286575,29.385289114908264,28.333397666755094
10,29.08269667382661,36.32077814059044,29.913766698251845,28.914630745139327,27.53800425960547
11,28.30466378047579,35.91600564858978,29.82389429744131,28.971630845939757,26.63840493234727
12,28.29180865711329,35.72615377717966,29.961800209883233,28.97444918141231,27.04916744977284
13,29.076940035377294,36.42895947234788,29.897183022553417,29.387071892294987,27.94633661369343
14,29.42618924461258,36.85405230085314,30.45636570522014,30.169562163234403,28.480034773994753
15,29.75470048255148,36.56848823699954,29.805422361086947,29.10740427866094,28.053406765573722
16,30.559946834834324,36.71289611976263,29.923613171539504,29.513922210541985,27.966133361400313
17,31.57943134566395,36.93913750516793,30.157107784196636,29.883449628553603,27.51006017741186
18,31.412289931136485,37.39242872544398,30.646945007381937,29.754441019286052,27.146826994045874
19,42.560574148524424,49.929175442679785,36.6598544563411,33.57464462574923,26.64197599480838
20,44.41544971113764,50.349568253313876,36.67652400008303,32.850540604546524,27.08149577013862
21,42.23467751093001,48.836138014467956,35.80492829625378,32.95104464488104,26.25408169100663
22,42.72809898802918,49.219635565250094,35.954807619074955,32.51992945121673,26.550011801367507
23,44.60315804867385,49.25978110264316,36.00772782247392,32.66587355947358,26.004447142717908
24,46.45733609168701,49.30914277106579,36.73588745136119,34.065138493767684,27.740293223340437

